Milliseconds,X,Y,Z,cos,headingAccuracy
4141,-0.066626355,-0.9053721,0.30789465,0.284716,0.17453292
4162,-0.07495447,-0.90191525,0.31748182,0.28308293,0.17453292
4181,-0.08068811,-0.8998551,0.32177645,0.2832141,0.17453292
4201,-0.08585699,-0.8997284,0.31906185,0.28516114,0.17453292
4221,-0.089006595,-0.9003188,0.31589553,0.28585646,0.17453292
4242,-0.08823159,-0.8995995,0.3200073,0.28378037,0.17453292
4261,-0.08329658,-0.899015,0.3289143,0.2768556,0.17453292
4281,-0.07313928,-0.8974092,0.34660864,0.26300156,0.17453292
4302,-0.06136079,-0.8932888,0.37391776,0.24177583,0.17453292
4321,-0.053663682,-0.8910091,0.39012402,0.22589003,0.17453292
4341,-0.050022647,-0.88885444,0.4029002,0.21238393,0.17453292
4361,-0.051835895,-0.8901904,0.4025958,0.20685919,0.17453292
4381,-0.056482147,-0.8926689,0.39740738,0.2049864,0.17453292
4402,-0.061285105,-0.89446914,0.39270428,0.20482302,0.17453292
4421,-0.06430233,-0.8953184,0.38949978,0.20630087,0.17453292
4441,-0.06419017,-0.89551115,0.38899496,0.20645171,0.17453292
4461,-0.06197533,-0.8950034,0.39062193,0.20625843,0.17453292
4481,-0.060129933,-0.8943471,0.39198318,0.20706747,0.17453292
4502,-0.059567366,-0.89405555,0.39126784,0.2098235,0.17453292
4521,-0.059265323,-0.89392066,0.3902811,0.21230659,0.17453292
4541,-0.059565373,-0.8938271,0.38988456,0.21334292,0.17453292
4562,-0.060468666,-0.89396226,0.3890377,0.21406707,0.17453292
4581,-0.06158862,-0.89403546,0.38870245,0.21405107,0.17453292
4601,-0.0626978,-0.8935492,0.38952225,0.21426912,0.17453292
4622,-0.063508846,-0.8927841,0.39109632,0.21435195,0.17453292
4641,-0.064219706,-0.8927735,0.39210656,0.21232942,0.17453292
4661,-0.065221384,-0.8938344,0.39116722,0.2092711,0.17453292
4682,-0.06587522,-0.8956062,0.38818216,0.20703766,0.17453292
4701,-0.06529426,-0.8972381,0.38522986,0.20566596,0.17453292
4721,-0.06345708,-0.8986785,0.38302267,0.2040682,0.17453292
4741,-0.062155068,-0.9005179,0.37926218,0.20338261,0.17453292
4762,-0.060112912,-0.90279526,0.3748659,0.20204622,0.17453292
4781,-0.056718573,-0.9046004,0.37166086,0.20087153,0.17453292
4801,-0.052595425,-0.9056435,0.37011907,0.20013855,0.17453292
4822,-0.04793805,-0.90580165,0.37037036,0.20012762,0.17453292
4841,-0.044365007,-0.9062932,0.369964,0.19947681,0.17453292
4861,-0.041896023,-0.9077391,0.36653486,0.19976644,0.17453292
4882,-0.04019341,-0.90933275,0.3617683,0.20154937,0.17453292
4901,-0.037256148,-0.9106583,0.3581615,0.20256782,0.17453292
4921,-0.030874528,-0.91063523,0.35953024,0.20131633,0.17453292
4942,-0.022116357,-0.91072106,0.36043954,0.2004529,0.17453292
4961,-0.013164946,-0.91151905,0.3589315,0.20031948,0.17453292
4982,-0.007491336,-0.91238016,0.3523593,0.20820479,0.17453292
5001,-0.0068442496,-0.9130011,0.34661844,0.21502973,0.17453292
5021,-0.010513862,-0.9130206,0.3377018,0.2285614,0.17453292
5042,-0.014639986,-0.91291547,0.32959086,0.24029325,0.17453292
5061,-0.014424228,-0.9121311,0.3289454,0.24413878,0.17453292
5081,-0.013721388,-0.9124409,0.3275857,0.24484889,0.17453292
5101,-0.012309006,-0.91280997,0.32443324,0.24772872,0.17453292
5122,-0.0105984425,-0.9124108,0.3229711,0.25116506,0.17453292
5141,-0.00835538,-0.9116404,0.32364482,0.25317183,0.17453292
5161,-0.0048292316,-0.9113842,0.32531998,0.2520364,0.17453292
5182,9.0541586E-4,-0.9113516,0.3263926,0.25080928,0.17453292
5201,0.0077372734,-0.91178757,0.326003,0.24961102,0.17453292
5221,0.01329015,-0.91256803,0.3226044,0.2509369,0.17453292
5241,0.018171124,-0.913338,0.32052353,0.25049585,0.17453292
5261,0.021285957,-0.91401714,0.31561008,0.25398785,0.17453292
5282,0.02265497,-0.9140463,0.3117446,0.2584983,0.17453292
5301,0.02442133,-0.9137951,0.31242982,0.2583983,0.17453292
5321,0.025352318,-0.91364115,0.3121813,0.25915232,0.17453292
5341,0.025393482,-0.91369754,0.3109191,0.26046357,0.17453292
5361,0.024654128,-0.9133792,0.30951193,0.26331162,0.17453292
5382,0.02459845,-0.9125798,0.30590013,0.27021876,0.17453292
5401,0.029956918,-0.9122575,0.30004865,0.27723578,0.17453292
5421,0.03870746,-0.91179323,0.2940221,0.2840526,0.17453292
5442,0.048402715,-0.9112397,0.28786272,0.29057616,0.17453292
5461,0.056830604,-0.9109121,0.2814713,0.29628256,0.17453292
5481,0.06039033,-0.9109507,0.2764946,0.30012086,0.17453292
5501,0.060022496,-0.9111572,0.27399787,0.30185267,0.17453292
5521,0.05815205,-0.91147554,0.26924953,0.30550838,0.17453292
5542,0.055756066,-0.9117065,0.2648696,0.30907378,0.17453292
5561,0.055078927,-0.91150695,0.26301548,0.31135872,0.17453292
5581,0.055288926,-0.9116221,0.26198092,0.31185618,0.17453292
5601,0.055800207,-0.91172975,0.2612059,0.3121004,0.17453292
5622,0.055182762,-0.91163,0.26034766,0.31321684,0.17453292
5641,0.05561321,-0.9107833,0.25831607,0.31725982,0.17453292
5661,0.05562501,-0.910918,0.25771454,0.31736022,0.17453292
5681,0.055714097,-0.9109511,0.25661504,0.31813958,0.17453292
5702,0.05646937,-0.91065377,0.25579005,0.31951892,0.17453292
5721,0.05673748,-0.91053367,0.25560677,0.3199601,0.17453292
5742,0.058901496,-0.9097993,0.25548118,0.32175332,0.17453292
5761,0.07036824,-0.9087198,0.25514665,0.3227645,0.17453292
5781,0.07336076,-0.9089781,0.25351703,0.32265487,0.17453292
5801,0.06780917,-0.90956724,0.24845237,0.3261301,0.17453292
5822,0.06372538,-0.9095638,0.247188,0.32791898,0.17453292
5842,0.060613606,-0.90965843,0.24778879,0.32779297,0.17453292
5861,0.058746688,-0.9099097,0.24816644,0.3271491,0.17453292
5881,0.058729377,-0.91049665,0.24907428,0.32482097,0.17453292
5901,0.06121532,-0.910777,0.25196838,0.3213252,0.17453292
5922,0.06299177,-0.9105921,0.25426906,0.31968945,0.17453292
5941,0.064068116,-0.91031206,0.25603423,0.31886318,0.17453292
5961,0.06444891,-0.90885705,0.26165694,0.3183721,0.17453292
5982,0.0643509,-0.9075409,0.2665281,0.31810564,0.17453292
6001,0.06358993,-0.90623534,0.268266,0.32051086,0.17453292
6021,0.06280307,-0.90599257,0.26892614,0.3207989,0.17453292
6041,0.06276573,-0.9056793,0.2699187,0.3208573,0.17453292
6061,0.062807076,-0.90622896,0.27156225,0.31789663,0.17453292
6082,0.061369233,-0.90628004,0.2759818,0.31420428,0.17453292
6101,0.058000654,-0.90539914,0.28100535,0.31292868,0.17453292
6121,0.05691552,-0.9054985,0.28509346,0.3091194,0.17453292
6142,0.056269675,-0.9053036,0.28676778,0.30825865,0.17453292
6161,0.056003567,-0.9051955,0.28658235,0.30879658,0.17453292
6181,0.054593727,-0.90495557,0.28567052,0.31059188,0.17453292
6201,0.053428337,-0.9051442,0.2836805,0.31206527,0.17453292
6222,0.05132414,-0.9049831,0.2801824,0.31602103,0.17453292
6241,0.05010383,-0.9052045,0.27703536,0.31834868,0.17453292
6261,0.049458876,-0.90561,0.27514157,0.31893793,0.17453292
6282,0.04899824,-0.9061289,0.27467284,0.31793785,0.17453292
