Milliseconds,X,Y,Z,cos,headingAccuracy
3440,-0.30307472,-0.78409415,-0.27925622,0.46406683,0.17453292
3460,-0.30777925,-0.7773135,-0.28784344,0.4671208,0.17453292
3480,-0.310836,-0.7729436,-0.2956638,0.46746346,0.17453292
3501,-0.31376034,-0.7701444,-0.29921934,0.4678673,0.17453292
3520,-0.31507444,-0.77001876,-0.29838443,0.4677242,0.17453292
3540,-0.31342205,-0.7747283,-0.293383,0.464208,0.17453292
3560,-0.31117067,-0.77965605,-0.2885744,0.4604716,0.17453292
3581,-0.3106378,-0.78085065,-0.28542975,0.46076706,0.17453292
3600,-0.31380177,-0.7786213,-0.2841199,0.4631988,0.17453292
3620,-0.32095128,-0.7726531,-0.28316233,0.46884596,0.17453292
3640,-0.3320214,-0.7663988,-0.28098103,0.472699,0.17453292
3661,-0.3471427,-0.7611927,-0.27759433,0.47224888,0.17453292
3680,-0.36373582,-0.7552018,-0.27436283,0.47126582,0.17453292
3700,-0.3816145,-0.7463138,-0.26895428,0.47439396,0.17453292
3721,-0.4022047,-0.7338873,-0.26178607,0.4807378,0.17453292
3740,-0.4201219,-0.72165525,-0.25269094,0.48873156,0.17453292
3760,-0.43904662,-0.70939624,-0.24251962,0.4951558,0.17453292
3781,-0.45838204,-0.69637996,-0.23545054,0.49950367,0.17453292
3800,-0.47722065,-0.685575,-0.22579634,0.50126183,0.17453292
3820,-0.49565613,-0.6810061,-0.20853023,0.49706224,0.17453292
3840,-0.5095201,-0.68050134,-0.18647625,0.4924772,0.17453292
3861,-0.51860887,-0.6744953,-0.16960914,0.49732655,0.17453292
3880,-0.52714765,-0.6646181,-0.1585106,0.50524503,0.17453292
3900,-0.5355784,-0.65534264,-0.14906813,0.51133204,0.17453292
3921,-0.543181,-0.64684814,-0.14016293,0.51662,0.17453292
3940,-0.5499637,-0.6409319,-0.13044006,0.51935697,0.17453292
3960,-0.5553005,-0.6390799,-0.11785634,0.51896834,0.17453292
3980,-0.5627289,-0.63652605,-0.10360071,0.5171438,0.17453292
4001,-0.5702277,-0.6301758,-0.09747604,0.51789695,0.17453292
4020,-0.57447207,-0.626716,-0.09270711,0.51828015,0.17453292
4040,-0.57775044,-0.62648296,-0.083515465,0.51647717,0.17453292
4060,-0.5788907,-0.62661606,-0.07646311,0.51613116,0.17453292
4080,-0.5782315,-0.6262328,-0.074288554,0.5176504,0.17453292
4101,-0.57700014,-0.62493753,-0.07713945,0.5201667,0.17453292
4120,-0.5764661,-0.623193,-0.08577699,0.5214974,0.17453292
4140,-0.5798242,-0.6233517,-0.10105451,0.5148053,0.17453292
4161,-0.60169846,-0.61825085,-0.10117866,0.49546722,0.17453292
4180,-0.61853784,-0.60016865,-0.107808806,0.4955662,0.17453292
4200,-0.619889,-0.5955572,-0.1101384,0.4989176,0.17453292
4221,-0.61812204,-0.597527,-0.10382511,0.5001069,0.17453292
4240,-0.6157346,-0.5994282,-0.09916961,0.50171924,0.17453292
4260,-0.61509836,-0.6009131,-0.098664686,0.5008221,0.17453292
4280,-0.6142879,-0.602756,-0.09948975,0.49943703,0.17453292
4301,-0.612739,-0.60528636,-0.099612385,0.49825364,0.17453292
4320,-0.61002475,-0.60918397,-0.099250354,0.49690443,0.17453292
4340,-0.6069899,-0.61289185,-0.09957427,0.49599573,0.17453292
4360,-0.60742795,-0.6139391,-0.10073711,0.4939252,0.17453292
4380,-0.6100447,-0.6110676,-0.10393202,0.49359897,0.17453292
4400,-0.6143045,-0.6064218,-0.108248904,0.49311736,0.17453292
4420,-0.6173789,-0.60339844,-0.11065788,0.49245152,0.17453292
4441,-0.61848295,-0.6007267,-0.11149701,0.49414036,0.17453292
4460,-0.6184662,-0.60071456,-0.11068911,0.4943576,0.17453292
4480,-0.61734843,-0.6024218,-0.10803085,0.49426526,0.17453292
4500,-0.61460304,-0.60591775,-0.10573959,0.49390882,0.17453292
4521,-0.60916936,-0.61428183,-0.10055412,0.4913852,0.17453292
